Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-09-08 20:05:00,false,"Bang Sao Thong - พื้นฐาน","10.01","770","00:59:21","145","166","3.7","170","178","5:56","4:59","14","24","0.99","8.6","8.5","263","5:57","313","0.0","310","411","10,264","'-8","No","00:01:21.3","21","--","--","--","00:59:03","01:00:15","'-28","'-15"
Running,2026-09-08 08:34:52,false,"Bang Rak Running","0.98","81","00:06:24.0","149","172","1.8","138","195","6:32","2:46","27","1","1.01","7.9","7.9","248","6:10","295","0.0","257","637","1,004","'-1","No","00:03:09.2","2","--","--","--","00:05:55","00:06:24.0","'-28","'-0"
Running,2026-09-07 05:54:28,false,"Bang Sao Thong - Threshold","7.64","575","00:42:03","153","167","3.6","163","203","5:30","4:25","13","18","1.11","8.3","9.2","261","5:29","349","0.0","339","518","6,934","'-10","No","00:00:02.7","20","--","--","--","00:41:42","00:45:56","'-12","'-1"
Running,2026-09-05 07:40:47,false,"Lat Krabang Running","20.08","1,565","02:06:00","144","162","4.2","168","178","6:17","4:51","21","22","0.95","9.0","8.5","270","6:16","300","0.0","299","413","21,382","'-26","No","00:00:30.9","41","37","25","50","02:05:34","02:14:52","'-13","'-2"
Running,2026-09-04 06:12:00,false,"Bang Sao Thong Running","5.22","397","00:28:37","150","166","3.4","171","181","5:29","4:31","--","3","1.06","8.2","8.7","255","5:29","343","0.0","338","432","4,960","'-7","No","00:01:12.8","11","--","--","--","00:28:31","00:28:37","'-7","'-3"
Running,2026-09-03 06:18:20,false,"Bang Sao Thong Running","3.01","223","00:16:04","150","160","2.9","175","185","5:20","4:49","1","--","1.07","8.1","8.6","251","5:20","354","0.0","352","419","2,838","'-4","No","00:00:03.0","7","--","--","--","00:16:02","00:16:04","'-5","'-3"
Running,2026-09-02 06:09:54,false,"Bang Sao Thong Running","5.19","396","00:29:50","146","162","3.2","174","184","5:45","4:42","1","1","1.00","8.4","8.4","256","5:47","323","0.0","323","419","5,276","'-7","No","00:01:06.1","11","33","19","38","00:29:33","00:30:47","'-7","'-5"
Running,2026-09-01 20:02:58,false,"Bang Sao Thong Running","6.14","487","00:37:40","146","157","3.2","172","196","6:08","5:37","1","4","0.95","8.8","8.3","264","6:09","302","0.0","300","339","6,558","'-6","No","00:00:59.1","13","37","20","46","00:37:37","00:37:40","'-21","'-16"
Running,2026-08-31 18:03:11,false,"Bang Rak Running_City","7.43","613","01:07:12","129","151","2.7","131","221","9:03","4:23","84","91","0.85","8.9","7.3","273","8:40","239","0.0","196","497","8,420","'-6","No","00:03:16.8","15","--","--","--","01:00:45","01:12:05","'-24","'-0"
Running,2026-08-30 09:56:10,false,"Lat Krabang Running","10.00","817","01:07:38","149","168","3.3","169","177","6:46","5:48","23","18","0.88","9.3","8.2","274","6:45","284","0.0","282","359","11,524","'-17","No","00:00:01.0","21","37","24","47","01:07:31","01:07:38","'-14","'-8"
Running,2026-08-29 09:31:28,false,"Lat Krabang Running","6.40","525","00:42:11","147","177","3.2","171","180","6:35","5:40","11","9","0.89","9.1","8.1","269","6:33","289","0.0","287","357","7,326","'-9","No","00:02:45.2","13","36","29","46","00:41:59","00:42:51","'-8","'-1"
Running,2026-08-28 05:46:34,false,"Bang Sao Thong Running","5.35","386","00:32:55","129","176","2.6","170","178","6:10","5:25","22","9","0.95","8.7","8.3","264","6:08","310","0.0","307","430","5,684","'-10","No","00:02:14.8","11","30","21","41","00:32:45","00:40:29","'-12","0"
